,name,provider,domain,base_uri,download_url,syntax,added_when,imports
0,Vehicle,Catena-X,Transport,https://w3id.org/catenax/ontology/vehicle#,https://raw.githubusercontent.com/catenax-ng/product-ontology/main/ontology/vehicle_ontology.ttl,Turtle,2024-08-11,"['https://w3id.org/catenax/ontology/vehicle#', 'http://purl.org/dc/elements/1.1/', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#', 'https://json-schema.org/draft/2020-12/schema#', 'https://w3id.org/catenax/ontology/core#', 'https://w3id.org/catenax/ontology/vehicle#']"
1,Dcat,W3C,Data,http://www.w3.org/ns/dcat#,https://www.w3.org/ns/dcat2.ttl,Turtle,2024-08-12,"['IndexError', 'http://www.w3.org/ns/dcat#', 'http://purl.org/dc/terms/', 'http://purl.org/dc/dcmitype/', 'http://xmlns.com/foaf/0.1/', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/ns/prov#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://schema.org/', 'http://www.w3.org/2004/02/skos/core#', 'http://www.w3.org/2006/vcard/ns#', 'http://www.w3.org/2001/XMLSchema#']"
2,Datatourisme,Adn-Tourisme,Tourism,https://www.datatourisme.fr/ontology/core,https://www.datatourisme.fr/ontology/core/ontology.ttl,Turtle,2024-08-12,"['https://www.datatourisme.fr/ontology/core#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
3,Era,European Union Agency For Railways,Transport,http://data.europa.eu/949/,https://data-interop.era.europa.eu/era-vocabulary/ontology.ttl,Turtle,2024-08-13,"['http://data.europa.eu/949/', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
4,Core Ontology,Gaia-X,Data,http://w3id.org/gaia-x/core#,https://gaia-x.gitlab.io/gaia-x-community/gaia-x-self-descriptions/core/ontology.ttl,Turtle,2024-08-13,"['http://w3id.org/gaia-x/core#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
5,Odrl,W3C,Data,http://www.w3.org/ns/odrl/2/,https://www.w3.org/ns/odrl/2/ODRL22.ttl,Turtle,2024-08-13,"['http://www.w3.org/ns/odrl/2/', 'http://www.w3.org/ns/odrl/2/', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2004/02/skos/core#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/2001/XMLSchema#', 'http://purl.org/dc/terms/', 'http://schema.org/', 'http://xmlns.com/foaf/0.1/', 'http://www.w3.org/2006/vcard/ns#', 'http://creativecommons.org/ns#']"
6,Metadata Terms,Dublin Core,Data,http://purl.org/dc/elements/1.1/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,Turtle,2024-08-13,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/2004/02/skos/core#', 'http://purl.org/dc/dcam/', 'http://purl.org/dc/terms/', 'http://www.w3.org/2000/01/rdf-schema#']"
7,Skos,W3C,Data,http://www.w3.org/2004/02/skos/core#,https://www.w3.org/TR/skos-reference/skos.rdf,RDF/XML,2024-08-13,"['http://purl.org/dc/terms/', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2004/02/skos/core#', 'http://www.w3.org/2004/02/skos/core']"
8,Owl,W3C,Data,http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#,Turtle,2024-08-13,"['http://purl.org/dc/elements/1.1/', 'http://www.w3.org/2003/g/data-view#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#']"
9,Core,Catena-X,Transport,https://w3id.org/catenax/ontology/core#,https://raw.githubusercontent.com/big-data-spaces/ontology/v24.05/ontology/core_ontology.ttl,Turtle,2024-08-13,"['http://purl.org/dc/elements/1.1/', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#', 'https://w3id.org/catenax/ontology/core#', 'https://w3id.org/catenax/ontology/core#']"
10,Rdf-Schema,W3C,Data,http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#,Turtle,2024-08-13,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2002/07/owl#', 'http://purl.org/dc/elements/1.1/']"
11,Rdf,W3C,Data,http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,Turtle,2024-08-13,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2002/07/owl#', 'http://purl.org/dc/elements/1.1/']"
12,Prov-O,W3C,Data,http://www.w3.org/ns/prov#,https://www.w3.org/ns/prov-o,Turtle,2024-08-13,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/ns/prov#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/2001/XMLSchema#']"
13,Transmodel Commons,Snap,Mobility,https://w3id.org/transmodel/commons#,https://oeg-upm.github.io/snap-docs/tm-commons.owl/documentation/ontology.ttl,Turtle,2024-08-13,"['https://w3id.org/transmodel/commons#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
14,Transmodel Fares,Snap,Mobility,https://w3id.org/transmodel/fares#,https://oeg-upm.github.io/snap-docs/tm-fares.owl/documentation/ontology.ttl,Turtle,2024-08-13,"['https://w3id.org/transmodel/fares#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
15,Transmodel Journeys,Snap,Mobility,https://w3id.org/transmodel/journeys#,https://oeg-upm.github.io/snap-docs/tm-journeys.owl/documentation/ontology.ttl,Turtle,2024-08-13,"['https://w3id.org/transmodel/journeys#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
16,Transmodel Organisations,Snap,Mobility,http://www.w3.org/ns/org#,https://oeg-upm.github.io/snap-docs/tm-organisations.owl/documentation/ontology.ttl,Turtle,2024-08-13,"['http://www.w3.org/ns/org#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
17,Transmodel Facilities,Snap,Mobility,https://w3id.org/transmodel/facilities#,https://oeg-upm.github.io/snap-docs/tm-facilities.owl/documentation/ontology.ttl,Turtle,2024-08-13,"['https://w3id.org/transmodel/facilities#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
18,Foaf,Xmlns,Cross-Domain,http://xmlns.com/foaf/0.1/,http://xmlns.com/foaf/spec/index.rdf,RDF/XML,2024-08-13,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/2003/06/sw-vocab-status/ns#', 'http://xmlns.com/foaf/0.1/', 'http://xmlns.com/wot/0.1/', 'http://purl.org/dc/elements/1.1/']"
19,Vann,Ian Davis,Data,http://purl.org/vocab/vann,https://vocab.org/vann/vann-vocab-20100607.rdf,RDF/XML,2024-08-13,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/2000/01/rdf-schema#', 'http://www.w3.org/2002/07/owl#', 'http://purl.org/vocab/bio/0.1/', 'http://purl.org/dc/terms/', 'http://purl.org/vocab/vann/', 'http://purl.org/dc/terms/', 'http://web.resource.org/cc/', 'http://xmlns.com/foaf/0.1/']"
20,Vehicle,University Of Toronto,Transport,http://ontology.eil.utoronto.ca/icity/Vehicle/,https://enterpriseintegrationlab.github.io/icity/Vehicle/Vehicle_1.2/doc/ontology.ttl,Turtle,2024-08-13,"['http://ontology.eil.utoronto.ca/icity/Vehicle/', 'http://www.w3.org/2002/07/owl#', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema#', 'http://www.w3.org/2000/01/rdf-schema#']"
21,Geosparql,Open Gis,Cross-Domain,http://www.opengis.net/ont/geosparql/,http://www.opengis.net/ont/geosparql,Turtle,2024-08-13,[]
22,Schema.Org,Schema.Org,Cross-Domain,https://schema.org/,https://schema.org/,RDF/XML,2024-08-13,
